"id","name_en","name_ar","name_he","slug","district_1945","subdistrict_1945","district_isr","type_special","pop_1922","pop_1931","type_1945","grp_1945","pop_1945","pal_1945","jsh_1945","change_2016","type_2016","grp_2016","pop_2016","pal_2016","jsh_2016","oth_2016","start","end","lat","lng","map_20k","id_zo","id_pr","id_as","id_old","id_pq","url_pr","url_pq_en","url_pq_ar","notes"
"1","Ayn Hawd","عين حوض","עין חוֹדֿ","ayn-hawd","Haifa","Haifa","","","350","459","Village","Palestinian","650","650","","Appropriated","Settlement","Jewish","600","","600","","","1948-07-15","32.701451","34.980151","no","49423","991","310","2437","918","Haifa/Ayn-Hawd","","",""
"2","al-Mazar","المزار","אלמַזַאר","al-mazar-haifa","Haifa","Haifa","","","134","2160","Village","Palestinian","210","210","","Depopulated","","","","","","","","1948-07-01","32.682109","34.966578","yes","49257","1048","311","2438","938","Haifa/al-Mazar","16851/al-mazar","21605/المزار",""
"3","Jaba'","جبع","גַ'בַּע","jaba-haifa","Haifa","Haifa","Haifa","","523","762","Village","Palestinian","1140","1140","","Depopulated","","","","","","","","1948-07-26","32.654305","34.963270","yes","49081","2932","318","2439","925","Haifa/Jaba%27","17017/jaba","21528/جبع",""
"4","Ijzim","إجزم","אִג'זִם","ijzim","Haifa","Haifa","","","1610","2160","Village","Palestinian","2970","2970","","Built over","","","","","","","","1948-07-26","32.645218","34.989649","yes","48978","1189","317","2440","923","Haifa/Ijzim","17008/ijzim","21513/إجزم",""
"5","Ayn Ghazal","عين غزال","עֵין עַ'זַאל","ayn-ghazal","Haifa","Haifa","","","1046","1439","Village","Palestinian","2170","2170","","Depopulated","","","","","","","","1948-07-26","32.632538","34.968212","yes","49381","604","316","2441","917","Haifa/Ayn-Ghazal","","",""
"6","Arab al-Samniyya","عرب السمنية","כּפְר לַאם","kafr-lam","Galilee","Acre","","","","215","Village","Palestinian","340","340","","Built over","","","","","","","","1948-07-16","32.637142","34.934072","yes","49236","1258","312","2442","38","Haifa/Kafr-Lam","16917/arab-al-samniyya","22211/عرب-السمنية",""
"7","al-Sarafand","الصرفند","","al-sarafand","Haifa","Haifa","","","204","188","Village","Palestinian","290","290","","Depopulated","","","","","","","","1948-07-16","32.647416","34.936005","yes","49365","1553","313","2443","945","Haifa/al-Sarafand","16883/al-sarafand","21562/الصرفند",""
"8","al-Tantura","الطنطورة","אלטַנְטוּרָה","al-tantura","Haifa","Haifa","","","750","953","Village","Palestinian","1490","1490","","Built over","","","","","","","","1948-05-23","32.609400","34.917400","yes","55025","1634","308","2444","947","Haifa/al-Tantura","16895/al-tantura","21564/الطنطورة",""
"9","Furreidis","عين غزال","פוריידיס","furreidis","Haifa","Haifa","Haifa","","355","454","Village","Palestinian","780","780","","Remaining","Village","Palestinian","12600","12600","","","","","32.596359","34.951237","yes","","1139","","2445","920","GeoPoints/Fureidis_1139","","",""
"10","Meir Shefeiya","ماير شفيا","מאיר שפיה","meir-shefeya","Haifa","Haifa","Haifa","","","","Settlement","Jewish","330","","330","Remaining","Settlement","Jewish","300","","200","100","1923","","32.589685","34.972577","yes","","1838","","2446","964","","","",""
